CarName,Price,Year,KilometersDriven,Fuel Type,Location
Hyundai Grand i10 Nios Era 1.2 Kappa VTVT,5.48 Lakh,2021,23K km,Petrol,"Spinny Hub, Kohinoor Square Mall, Dadar, Mumbai"
Honda Amaze 1.2 VX CVT i-VTEC,8.82 Lakh,2022,6K km,Petrol,"Spinny Hub, Neelkanth Business Park, Vidyavihar, Mumbai"
Tata Altroz XM Plus 1.2,6.58 Lakh,2021,23K km,Petrol,"Spinny Hub, Neelkanth Business Park, Vidyavihar, Mumbai"
Tata Punch Adventure Rhythm Pack MT,6.78 Lakh,2022,10K km,Petrol,"Spinny Hub, Neelkanth Business Park, Vidyavihar, Mumbai"
Renault Triber RXT,6.63 Lakh,2022,7K km,Petrol,"Spinny Hub, Neelkanth Business Park, Vidyavihar, Mumbai"
Maruti Suzuki Baleno Delta Petrol,5.69 Lakh,2018,22K km,Petrol,"Spinny Hub, Korum Mall, Thane"
BMW X1 sDrive20d xLine,26.90 Lakh,2018,53K km,Diesel,"Spinny Hub, Kohinoor Square Mall, Dadar, Mumbai"
Hyundai New Santro 1.1 Magna,4.73 Lakh,2022,5K km,Petrol,"Spinny Hub, Neelkanth Business Park, Vidyavihar, Mumbai"
Maruti Suzuki Baleno Zeta Petrol,7.14 Lakh,2020,24K km,Petrol,"Spinny Hub, Seawoods, Navi Mumbai"
Hyundai Grand i10 Nios Sportz 1.2 Kappa VTVT Dual Tone,7.28 Lakh,2022,11K km,Petrol,"Spinny Hub, Korum Mall, Thane"
Hyundai Elite i20 Magna Plus 1.2,6.13 Lakh,2019,8K km,Petrol,"Spinny Hub, Korum Mall, Thane"
Maruti Suzuki Alto K10 VXI (O),3.76 Lakh,2019,20K km,Petrol,"Spinny Hub, Neelkanth Business Park, Vidyavihar, Mumbai"
Honda WR-V VX i-VTEC,7.22 Lakh,2018,16K km,Petrol,"Spinny Hub, Neelkanth Business Park, Vidyavihar, Mumbai"
Hyundai Grand i10 Asta 1.2 Kappa VTVT CNG (Outside Fitted),4.25 Lakh,2014,49K km,Petrol+cng,"Spinny Hub, Seawoods, Navi Mumbai"
Maruti Suzuki Ertiga LXI,4.68 Lakh,2013,52K km,Petrol,"Spinny Hub, Korum Mall, Thane"
Hyundai i10 Sportz 1.1 Petrol,3.82 Lakh,2016,44K km,Petrol,"Spinny Hub, Korum Mall, Thane"
Maruti Suzuki Wagon R 1.0 LXI CNG,3.65 Lakh,2014,25K km,Petrol+cng,"Spinny Hub, Neelkanth Business Park, Vidyavihar, Mumbai"
Maruti Suzuki Wagon R 1.0 LXI CNG,3.86 Lakh,2017,63K km,Petrol+cng,"Spinny Hub, Neelkanth Business Park, Vidyavihar, Mumbai"
BMW X1 sDrive20d Expedition,22.50 Lakh,2018,75K km,Diesel,"Spinny Hub, Kohinoor Square Mall, Dadar, Mumbai"
