CarName,Price,Year,KilometersDriven,Fuel Type,Location
Maruti Ertiga,"6,51,000",2016,"98,246 KM",CNG,"Rupa Renaissance, Navi Mumbai"
Hyundai i10,"1,86,000",2010,"92,421 KM",PETROL,"Goregaon, Mumbai"
Toyota Corolla Altis,"4,90,000",2012,"60,438 KM",PETROL,"Mulund, Mumbai"
Honda City,"4,88,000",2014,"72,419 KM",PETROL,"Goregaon, Mumbai"
Maruti Alto 800,"1,83,000",2012,"55,876 KM",PETROL,"Goregaon, Mumbai"
Honda City,"4,13,000",2014,"81,007 KM",PETROL,"Mulund, Mumbai"
Hyundai Verna,"4,95,000",2014,"76,611 KM",PETROL,"Goregaon, Mumbai"
Mahindra XUV500,"5,51,000",2014,"87,495 KM",DIESEL,"Rupa Renaissance, Navi Mumbai"
Renault Duster,"6,31,000",2017,"68,741 KM",PETROL,"Goregaon, Mumbai"
Maruti Dzire,"5,39,000",2017,"47,097 KM",PETROL,"Rupa Renaissance, Navi Mumbai"
Volkswagen Jetta,"5,06,000",2011,"1,08,471 KM",DIESEL,"Goregaon, Mumbai"
Maruti Alto 800,"2,25,000",2014,"25,765 KM",PETROL,"Rupa Renaissance, Navi Mumbai"
Honda City,"4,10,000",2013,"45,778 KM",PETROL,"Rupa Renaissance, Navi Mumbai"
Maruti Dzire,"5,93,000",2017,"15,118 KM",PETROL,"Mulund, Mumbai"
Maruti Dzire,"7,02,000",2018,"60,461 KM",DIESEL,"Rupa Renaissance, Navi Mumbai"
Hyundai Elite i20,"4,28,000",2014,"44,771 KM",PETROL,"Mulund, Mumbai"
Volkswagen Polo,"5,52,000",2015,"73,681 KM",PETROL,"Goregaon, Mumbai"
Maruti Swift,"3,56,000",2012,"1,02,466 KM",DIESEL,"Goregaon, Mumbai"
Honda City,"4,76,000",2015,"84,131 KM",DIESEL,"Rupa Renaissance, Navi Mumbai"
Renault Kwid,"3,33,000",2017,"42,530 KM",PETROL,"Rupa Renaissance, Navi Mumbai"
Honda BR-V,"5,72,000",2016,"43,660 KM",PETROL,"Goregaon, Mumbai"
Hyundai Grand i10,"3,76,000",2014,"53,428 KM",PETROL,"Rupa Renaissance, Navi Mumbai"
Maruti Ertiga,"7,18,000",2016,"98,401 KM",CNG,"Mulund, Mumbai"
Maruti Alto K10,"3,55,000",2018,"35,741 KM",PETROL,"Mulund, Mumbai"
Maruti Alto 800,"3,61,000",2019,"12,290 KM",CNG,"Goregaon, Mumbai"
Hyundai Xcent,"4,31,000",2016,"37,571 KM",PETROL,"Goregaon, Mumbai"
Volkswagen Polo,"3,72,000",2013,"74,371 KM",PETROL,"Goregaon, Mumbai"
Hyundai Grand i10,"4,31,000",2014,"23,305 KM",PETROL,"Goregaon, Mumbai"
Toyota Innova,"6,28,000",2013,"67,810 KM",DIESEL,"Mulund, Mumbai"
Hyundai NEW SANTRO,"4,83,000",2019,"17,381 KM",PETROL,"Goregaon, Mumbai"
Maruti Vitara Brezza,"7,16,000",2020,"41,594 KM",PETROL,"Rupa Renaissance, Navi Mumbai"
Hyundai NEW SANTRO,"4,43,000",2018,"23,157 KM",PETROL,"Goregaon, Mumbai"
Hyundai Eon,"1,96,000",2012,"16,978 KM",PETROL,"Goregaon, Mumbai"
Maruti Wagon R 1.0,"2,80,000",2014,"1,06,040 KM",CNG,"Goregaon, Mumbai"
Maruti Swift Dzire,"2,50,000",2011,"28,970 KM",PETROL,"Rupa Renaissance, Navi Mumbai"
Honda Amaze,"3,83,000",2016,"30,050 KM",PETROL,"Goregaon, Mumbai"
Hyundai Creta,"9,41,000",2017,"86,021 KM",PETROL,"Rupa Renaissance, Navi Mumbai"
Hyundai Grand i10,"5,66,000",2016,"27,625 KM",PETROL,"Goregaon, Mumbai"
Maruti Ertiga,"6,41,000",2016,"93,277 KM",PETROL,"Rupa Renaissance, Navi Mumbai"
Renault Kwid,"4,65,000",2021,"27,960 KM",PETROL,"Rupa Renaissance, Navi Mumbai"
Hyundai i10,"2,68,000",2013,"80,058 KM",PETROL,"Rupa Renaissance, Navi Mumbai"
Maruti Ertiga,"7,60,000",2017,"1,10,106 KM",CNG,"Rupa Renaissance, Navi Mumbai"
Toyota Etios Liva,"2,97,000",2015,"36,339 KM",CNG,"Mulund, Mumbai"
Renault Kwid,"3,74,000",2019,"15,175 KM",PETROL,"Mulund, Mumbai"
Maruti Baleno,"7,29,000",2020,"23,666 KM",PETROL,"Mulund, Mumbai"
